@morningmoneyben,1812
@jpodhoretz,1610
@daveweigel,1544
@ianbremmer,1219
@mattyglesias,1165
@GlennF,1120
@TheStalwart,1119
@samsteinhp,1100
@ReformedBroker,1100
@jimgeraghty,1012
@KailiJoy,984
@KagroX,980
@BuzzFeedAndrew,977
@zerohedge,973
@Talkmaster,954
@ananavarro,953
@lizzwinstead,934
@StirringTrouble,912
@dandrezner,910
@DavidKaib,859
@joshtpm,850
@ethanklapper,829
@jeffpearlman,816
@Green_Footballs,810
@markknoller,765
@ron_fournier,737
@joshuafoust,735
@LaMonicaBuzz,706
@MattBinder,701
@rilaws,692
@benshapiro,689
@TheFix,679
@randomsubu,666
@eliasisquith,652
@CharlieDaniels,648
@JohnJHarwood,647
@AntDeRosa,642
@fmanjoo,635
@mileskahn,625
@JonahNRO,606
@rolandsmartin,605
@danprimack,605
@realDonaldTrump,603
@edsbs,592
@ClaraJeffery,592
@sahilkapur,587
@MiaFarrow,572
@piersmorgan,564
@7im,559
@monaeltahawy,556
@chrislhayes,552
@Max_Fisher,547
@anildash,535
@robdelaney,534
@davidfrum,533
@ThePlumLineGS,529
@EricStangel,520
@edbott,511
@LukeRussert,509
@ditzkoff,504
@michaelianblack,503
@chrisgeidner,495
@HowardKurtz,487
@jonlovett,485
@nycjim,481
@drewmagary,480
@DanAmira,478
@DavidCornDC,476
@chucktodd,475
@zackbeauchamp,470
@TinaDupuy,464
@KevinWGlass,461
@JeffreyGoldberg,459
@ExumAM,457
@JoyceCarolOates,455
@grossdm,452
@jonathanwald,449
@rickklein,437
@VonniMediaMogul,436
@greta,435
@ZekeJMiller,435
@BetteMidler,427
@Timodc,425
@politicoroger,424
@ByronYork,419
@thisisjendoll,416
@IngrahamAngle,410
@FeldmanAdam,405
@nprmonkeysee,400
@pkedrosky,398
@KatrinaNation,396
@PerezHilton,394
@BenStandig,392
@JustinWolfers,390
@nickconfessore,388
@BCAppelbaum,387
@AlecMacGillis,387
@SuzyWelch,384
@anamariecox,383
@jaketapper,380
@EdMorrissey,370
@AnonyOps,366
@mattzollerseitz,365
@stacyherbert,362
@AriMelber,361
@alexanderiburns,358
@carlbildt,357
@ggreenwald,355
@pareene,354
@anylaurie16,352
@OccupyWallStNYC,352
@ChrisWarcraft,350
@RonanFarrow,346
@AHMalcolm,342
@MrChuckMartin,342
@BeckyGMartinez,337
@ASE,335
@markmackinnon,332
@conor64,330
@pattonoswalt,329
@Justin_Stangel,329
@therealroseanne,326
@neetzan,326
@mpoindc,325
@birbigs,325
@thegarance,321
@brianjameswalsh,321
@radleybalko,318
@michellemalkin,315
@sternbergh,313
@pete_schultz,312
@wilw,309
@petridishes,305
@CharlesMBlow,300
@jim_newell,299
@IrvineWelsh,296
@kevinroose,294
@NickKristof,292
@petersuderman,292
@AriFleischer,292
@RealDLHughley,290
@markos,289
@JWGOP,283
@kellyoxford,282
@TheEllenShow,280
@ezraklein,277
@JonMediaWeb,276
@BahmanKalbasi,276
@politicalwire,272
@Convertbond,272
@strobetalbott,272
@Ihnatko,267
@RichardHaass,267
@DylanByers,266
@ChrisCuomo,265
@greenhousenyt,264
@carney,264
@acarvin,263
@costareports,261
@AndyRichter,261
@aterkel,261
@AlbertBrooks,259
@ChemiShalev,259
@kathrynlopez,257
