twhandle,name,fcnt,profs
@atigoll,Atilla Türker,4,Köşe Yazarı
@atillakart,Atilla Kart,13,Milletvekili
@AtillaSertell,Atilla Sertel,13,"Gazeteci, Yazar"
@AtillaTasNet,Atilla Taş,134,Şarkıcı
@AtillaYesilada1,Atilla Yesilada,5,Danışman
@atilla_yayla,atilla yayla,8,"Akademisyen, Köşe Yazarı"
@Atiye,Atiye,96,Şarkıcı
@AttilaKoksal,Attila Koksal,5,İş adamı
@attilao,Attila Özdemiroğlu,11,Müzisyen
@ATuncayOzkan,Tuncay Özkan,4,"Politikacı, Gazeteci"
@AvarBanu,Banu Avar,75,"Yazar, Yapımcı"
@avhamzadag,Hamza Dağ,2,Milletvekili
@avomerturanli,Ömer Turanlı,0,Avukat
@avsarhellin,Helin Avşar,104,Magazin ünlüsü
@av_idrissahin,İdris Şahin,4,"Milletvekili, AK Parti"
@Av_SelamiOzturk,Selami Öztürk,10,"Hukukçu, Politikacı"
@aycasenbaskan,Ayça Şen,35,"Köşe yazarı, Radyocu, Yazar"
@aydincingi,Aydın Cıngı,22,"Politikacı, Sivil toplum girişimcisi"
@aydinsengul35,Aydın Şengul,1,"Milletvekili, AK Parti"
@AYDIN_KUSUM,Aydın Uğurlular,0,Şarkıcı
@ayhansicimoglu,Ayhan Sicimoglu,11,"Sunucu, Yapımcı"
@aykanerdemir,Aykan Erdemir,8,"Milletvekili, CHP"
@aykurtnuh,Aykurt Nuhoğlu,0,Politikacı
@aykuterdogdu,Aykut Erdoğdu,23,"Milletvekili, CHP"
@aykut_isiklar,Aykut Işıklar,24,Köşe yazarı
@Ayla_Akat,Ayla Akat,18,"Milletvekili, BDP"
@AylinAsLIM,Aylin Aslım,65,Şarkıcı
@AylinNazliaka,Aylin Nazlıaka,33,"Milletvekili, CHP"
@aylin_kotil,Aylin Kotil,18,Politikacı
@AYMBASKANLIGI,Anayasa Mahkemesi Başkanlığı (AYM),3,Diğer
@aysebohurler,Ayşe Böhürler,16,Politikacı
@AysegulAldinc,Ayşegül Aldinç,76,"Sanatçı, Dizi oyuncusu"
@AysegulDinckok,Ayşegül Dinçkök,0,İş kadını
@aysekarabat,Ayşe Karabat,5,"Gazeteci, Yazar"
@aysekesir,Ayşe Keşir,11,Politikacı
@AysenurArslan50,Ayşenur Arslan,5,Gazeteci
@aysenuryazici,Ayşenur Yazıcı,30,Sunucu
@ayseozyilmazel,Ayse Özyılmazel,108,"Şarkıcı, Köşe yazarı, Sunucu"
@AyseTolga,Ayşe Tolga,13,"Dizi oyuncusu, İş kadını"
@aziz_ustell,Aziz Üstel,16,"Köşe yazarı, Yorumcu"
@A_Behramoglu,Ataol Behramoğlu,0,Yazar
@badenzi,Bade Süalp,99,Dizi oyuncusu
@baharkorcan,Bahar Korcan,5,Modacı
@bahattinyucel,Bahattin Yücel,22,Politikacı
@Balciceki,Balçiçek İlter,46,"Gazeteci, Sunucu"
@banuguven,Banu Güven,60,Gazeteci
@banuka,Banu Yelkovan,28,Gazeteci
@banuzeytinoglu,Banu K. Zeytinoglu,2,
@BarbarosSansal,Barbaros Şansal,70,Modacı
@barisatay,Barış Atay,8,Sanatçı
@BarisOrnarli,Baris Ornarli,4,Sivil toplum girişimcisi
@barispehlivan,Barış Pehlivan,10,Gazeteci
@baristerkoglu,Barış Terkoğlu,19,Gazeteci
@baristunay,Baris Tunay,5,Yönetici
@barisyarkadas,Barış Yarkadaş,23,Gazeteci
@basaktemel,Başak Temel,14,İş kadını
@baskomsernevzat,Ahmet Ümit,65,Yazar
@baydemirosman,Osman Baydemir,10,Politikacı
@bayjshow,Bay J,49,Sunucu
@BayramogluDeniz,Deniz Bayramoğlu,2,"Gazeteci, Sunucu"
@bedribaykam,Bedri Baykam,18,Sanatçı
@beduk,Bedük,19,Şarkıcı
@behzatu,Behzat Uygur,48,Sanatçı
@bejanmatur,Bejan Matur,18,"Yazar, Köşe Yazarı"
@BekirDeveli,BekirDeveli,0,"Sunucu, Yapımcı"
@bekirtegun,Bekir İrtegün,12,Sporcu
@bekrcoskn,Bekir Coşkun,25,Gazeteci
@Belcimb,Belçim Bilgin,6,Sanatçı
@BelmaSatir,Mihrimah Belma Satır,3,"Milletvekili, AK Parti"
@Bengu,Bengü,85,Şarkıcı
@bennugerede,Bennu Gerede,11,Sanatçı
@beratozipek,Berat Özipek,0,Akademisyen
@bernaertenn,Berna Ertan,0,Gazeteci
@bernalacin35,Berna Laçin,137,Sanatçı
@berraktzntc,Berrak Tüzünataç,56,Dizi oyuncusu
@Besiktas,Beşiktaş JK,19,Spor kulübü
@besmersoy,Burcu Esmersoy,70,Sunucu
@beyazit_ozturk,Beyazıt Öztürk,6,Sunucu
@beyinsiz_adam,Beyinsiz Adam,34,"Twitter ünlüsü, Köşe yazarı"
@bfalay,Baris Falay,58,"Sanatçı, Dizi oyuncusu"
@bgmoner,Begüm Öner,1,Sanatçı
@BilalMacit,Bilal Macit,4,"Milletvekili, AK Parti"
@Bilal_Erdogan,Bilal Erdoğan,14,İş adamı
@birgulaguler,Birgül Ayman Güler,14,"Milletvekili, CHP"
@biriciksuden,Biricik Suden,7,Magazin ünlüsü
@birolguven,Birol Güven,23,"Yazar, Yapımcı"
@birsentezer,Birsen Tezer,5,Sanatçı
@bkenes,Bülent Keneş,6,Gazeteci
@bkusoglu,Bülent Kuşoğlu,6,"Milletvekili, CHP"
@Boraoztoprak,Bora Öztoprak,8,Şarkıcı
@bskazizkocaoglu,Aziz Kocaoğlu,3,Politikacı
@BugraGulsoy,Buğra Gülsoy,40,Sanatçı
@BuketUzuner,Buket Uzuner,15,Yazar
@bulentparlak,Bülent Parlak,4,Dizi oyuncusu
@bulenttanik,Bülent Tanık,3,Politikacı
@bulenttezcanchp,Bulent Tezcan,8,"Milletvekili, CHP"
@bulent_arinc,Bülent Arınç,43,"Milletvekili, AK Parti"
@bulent_korucu,Bülent Korucu,0,Gazeteci
@BunyaminSurmeli,Bünyamin Sürmeli,2,Sunucu
@burak,Burak Bayburtlu,8,Yönetici
@burak_eldem,Burak Eldem,8,Yazar
@Burak__Elmas,Burak Elmas,3,İş adamı
@Burcakguven,Ayse Burcak Güven,15,Gazeteci
@BurcuGnes,Burcu Güneş,29,Sanatçı
@BurhanKuzu,Burhan Kuzu,18,"Milletvekili, AK Parti"
@burhansesen,Burhan Şeşen,9,Şarkıcı
@BursasporSk,Bursaspor,2,Spor kulübü
@busearici,Buse Arıcı,4,Twitter ünlüsü
@BuseTerim,Buse Terim,101,Magazin ünlüsü
@busrapekin,Büşra Pekin,43,Sanatçı
@buyukersen,Yılmaz Büyükerşen,5,Politikacı
@bybekirbozdag,Bekir Bozdağ,33,"Milletvekili, AK Parti"
@cagatayozdogru,Çagatay Özdoğru,5,Yönetici
@caglarmustafa,Mustafa Çağlar,1,İş adamı
@cakir_rusen,Ruşen Çakır,22,"Gazeteci, Köşe yazarı"
@CalikogluLevent,levent calikoglu,4,Sanatçı
@calikoznur,Öznur Çalık,2,Köşe Yazarı
@CanAnayasa,Osman Can,3,"Akademisyen, Hukukçu"
@cananbarlas,Canan Barlas,20,"Yazar, Köşe yazarı"
@canbonomo,Can Bonomo,51,Şarkıcı
@CandanYceer,Candan Yüceer,20,"Milletvekili, CHP"
@Candan_Dost,Candan Karlıtekin,3,İş adamı
@CandasTolga,Candaş Tolga Işık,16,Köşe Yazarı
@candemirkoray,Koray Candemir,1,Sanatçı
@candundaradasi,Can Dündar,59,"Gazeteci, Yapımcı"
@canerclsr,Caner Çalışır,0,Twitter ünlüsü
@canereler,Caner Eler,4,Gazeteci
@cantanriyar1907,Can Tanrıyar,20,Yapımcı
@cantongo,Can Tongo,29,Sunucu
@can_atakli_,Can Ataklı,54,Gazeteci
@cbabdullahgul,Abdullah Gül,250,Politikacı
@ccanozz,Can Öz,8,İş adamı
@cdavran,Cem Davran,81,"Sanatçı, Sunucu"
@ceceydates,Ceyda Ateş,0,"Dizi oyuncusu, Sinema oyuncusu"
@cefi,Cefi Kamhi,7,"Politikacı, İş adamı"
@celalpir,Celal Pir,6,Gazeteci
@CelalToprak1,Celal Toprak,3,Köşe Yazarı
@celikerisci,Çelik Erişçi,1,Sanatçı
@cemadrian,Cem Adrian,8,Sanatçı
@cemerciyes,Cem Erciyes,2,Gazeteci
@cemilertem,Cemil Ertem,3,"Akademisyen, Köşe yazarı"
@ceminaycem,Cem Ceminay,39,Radyocu
@cemkinay,Cem Kinay,1,İş adamı
@cemkucuk55,Cem Küçük,5,Köşe yazarı
@cemmumcu,Cem Mumcu,8,"Yazar, Bilim insanı"
@cemseymen,Cem Seymen,0,"Sunucu, Yorumcu"
@cem_boyner,Cem Boyner,12,İş adamı
@cem_ozer,Cem Özer,26,"Sanatçı, Sunucu"
@CengizCandar,Cengiz Çandar,5,"Gazeteci, Köşe Yazarı"
@CengizHrtgl,Cengiz Hortoğlu,0,Sivil toplum girişimcisi
@cengizsemercio,Cengiz Semercioglu,11,Gazeteci
@Cengizyavili,Cengiz Yavilioğlu,4,"Milletvekili, AK Parti"
@Cengiz_Turhan,Cengiz Turhan,2,Reklamcı
@cenkerenonline,Cenk Eren,26,Şarkıcı
@cenksidar,Cenk Sidar,9,İş adamı
@CenkTosun_,Cenk Tosun,9,Sporcu
@ceriLevis,Ömür Özdemir,36,Twitter ünlüsü
@CetinSoysalCHP,Çetin Soysal,3,"Milletvekili, CHP"
@Cevdet_Erdol,Cevdet Erdöl,3,"Milletvekili, AK Parti"
@ceydak,Ceyda Karan,25,Gazeteci
@Ceyda_duvenci,Ceyda Düvenci,36,"Dizi oyuncusu, Sinema oyuncusu"
@ceyhunyilmaz,Ceyhun Yılmaz,100,"Yazar, Sunucu, Radyocu"
@CEZA_ED,Ceza,15,
