twhandle,name,fcnt,profs
@gurcanbilgic,Gürcan BİLGİÇ,4,"Journalist, Commentator"
@gurseltekin34,Gürsel Tekin,13,"MP, CHP"
@Gurul,Gürül Öğüt,0,"Adman, Author"
@guvendikelif,Elif Güvendik,0,TV host
@GuvenKiracResmi,Güven Kıraç,13,Artist
@GUVENOZALPBXL,GUVEN OZALP,1,Journalist
@guvsak,guven sak,1,"Academician, Columnist"
@Guzelzinho,Samet Guzel,12,Others
@haberaktif,gökmen karadağ,11,"Journalist, TV host"
@haberalmehmet,Mehmet Haberal,5,"MP, CHP"
@hacisabanci,Hacı Sabancı,5,Businessman
@HadiOzisik,Hadi Özışık,7,Journalist
@Hadise,HADISE ACIKGOZ,129,Musician
@hakanchelik,Hakan Celik,14,"Journalist, Columnist"
@hakanhepcan,Hakan Hepcan,18,Twitter Phenomenon
@hakansukur,Hakan Şükür,65,"MP, Independent, Commentator"
@hakanturpcu,Hakan Turpcu,0,Journalist
@hakan_akkaya,hakan akkaya,47,Stylist
@hakan_aygun,Hakan Aygün,16,"Journalist, TV host"
@halesen,Halit Esendir,0,Bureaucrat
@halideincekara,Halide İNCEKARA,3,"MP, AKP"
@halilmazicioglu,Halil Mazıcıoğlu,2,"MP, AKP"
@halilsezaip,Halil Sezai,20,Musician
@HalilSoyletmez,Halil Söyletmez,10,Twitter Phenomenon
@halimekokce,Halime Kökce,0,Journalist
@halukilicak,Haluk Ilıcak,6,Bureaucrat
@halukipek06,Haluk İpek,3,"MP, AKP"
@HalukMesci,Haluk Mesci,2,Adman
@HalukSicimoglu,Haluk Sicimoğlu,1,Adman
@haluk_eyidogan,haluk_eyidogan,4,"MP, CHP"
@haluk_levent,Haluk Levent,37,Musician
@hamdialkan,Hamdi Alkan,19,"Artist, Producer"
@hamditopcu53,Hamdi Topçu,1,"Bureaucrat, Executive"
@hamzayerlikaya,Hamza Yerlikaya,1,"Politician, Athlete"
@handealtayli,Hande Altaylı,7,Author
@handefrt,hande fırat,7,"Journalist, TV host"
@handekuday,Hande Kuday,0,"Lawyer, Columnist"
@handeyener,Hande Yener,67,Musician
@Hande_Kazanova,Hande Kazanova,16,"Commentator, Model"
@HanefiAvci2014,Hanefi Avcı,0,Emeritus bureaucrat
@harun_tekin,Harun Tekin,20,Musician
@hasancelalguzel,Hasan Celal Guzel,10,"Politician, Columnist"
@hasandoganTR,Hasan Dogan,1,Academician
@hasankoktas,Hasan Köktaş,2,Emeritus bureaucrat
@hasibe_eren,Hasibe Eren,6,"TV Series actor, Theater Actor"
@HasipKAPLAN,Hasip KAPLAN,14,"MP, HDP"
@HasmetBABA,Haşmet Babaoğlu,13,"Author, Columnist, Commentator"
@Hayati_Yazici,Hayati Yazıcı,2,"MP, AKP"
@haydrendersarac,Ender Saraç,1,Consultant
@haykobagdat,Hayko Bağdat,24,"Journalist, Commentator"
@HAYKOCPQN,Hayko Cepkin,32,Musician
@Hayriinonu,Hayri İnönü,0,Politician
@hc_huseyincelik,Hüseyin Çelik,14,"AKP, MP, Politician"
@HDPDEMIRCELIK,Demir Çelik,5,"MP, HDP"
@hdpdemirtas,Selahattin Demirtaş,20,"MP, HDP"
@Hdptugluk,Aysel Tuğluk,17,"HDP, MP"
@hetenketenabi,GDO Hasan Kaçan,20,"Artist, Producer"
@hidayet_karaca,Hidayet Karaca,1,Executive
@hidirgevis,Hıdır Geviş,3,Journalist
@hidoturkoglu15,Hidayet Türkoğlu,6,Athlete
@hikmetcetinkaya,Hikmet Çetinkaya,2,"Journalist, Columnist"
@hikmetgenc,Hikmet Genç,13,Columnist
@hilalcebeciii,Hilal Cebeci,147,Twitter Phenomenon
@hilal_kaplan,Hilâl Kaplan,20,Journalist
@hilmihacaloglu,Hilmi Hacaloğlu,8,"Journalist, TV host, Author"
@hozer200,Halil Özer,0,Journalist
@HSNCML,Hasan Cemal,18,Journalist
@HsynKrdy,Hüseyin Karadayı,2,Producer
@hulyavsar,Hülya Avşar,195,Artist
@HurAyse,Ayşe Hür,28,Columnist
@hursitgunes,Hurşit Güneş,4,"MP, CHP"
@HuseyinAygun62,Hüseyin Aygün,17,"MP, CHP"
@huseyingulercee,Hüseyin Gülerce,0,Columnist
@huseyinsahinnet,Hüseyin Şahin,3,"MP, AKP"
@HuseyinYayman,Hüseyin Yayman,1,"Academician, Columnist, Commentator"
@husnumahalli,Hüsnü Mahalli,14,"Journalist, Author"
@ibinici,İbrahim Binici,8,"MP, HDP"
@ibrahimbetil,Ibrahim Betil,7,Social entrepreneur
@ibrahimbuyukak,İbrahim Büyükak,9,TV Series actor
@ibrahimseten,İbrahim Seten,3,Journalist
@ibrahimsober,İbrahim Uslu,3,Businessman
@ibrahim_karagul,İbrahim Karagül,6,"Journalist, Author"
@iclalaydin,İclal Aydın,57,"Author, TV Series actor"
@idrisbal,İdris Bal,15,"MP, Independent"
@idrisgulluce,İdris Güllüce,1,"MP, AKP"
@ihhinsaniyardim,İHH İnsanı Yardım Vakfı,2,Social entrepreneur
@ihsandagi,İhsan Dağı,9,"Academician, Columnist"
@ihsaneliacik,R. İhsan Eliaçık,20,"Author, Thinker"
@ihsanozkes,İhsan Özkes,6,"MP, CHP"
@ihsanylmz,İhsan Yılmaz,5,"Academician, Columnist"
@ikalin1,Ibrahim Kalin,6,"Consultant, Politician"
@ikaraosmanoglu,İsmail Karaosmanoğlu,6,Politician
@ilhancihaner,İlhan Cihaner,12,"MP, CHP"
@ilhankesici,İlhan Kesici,6,"Emeritus bureaucrat, Politician"
@ilkerbasbugcom,İlker Başbuğ,27,Emeritus Officers
@ilkerkoc2,İlker Koç,2,TV host
@Ilterkemal,Kemal İLTER,1,Bureaucrat
@imparatoribo,İbrahim Tatlıses,147,"Musician, Businessman, Director"
@ineziroglu,Dr. İrfan Neziroğlu,0,Bureaucrat
@iremderici,İrem Derici,0,Musician
@iremsak,İrem Sak,7,"TV Series actor, TV host"
@isbecer,Fatih işbecer,4,Businessman
@ishinkaraca,Işın Karaca,30,Artist
@isilrecber,Işıl Recber,14,Celebrity
@IsinGormusELLE,Işın Görmüş,3,Journalist
@isingurel,Isin Gurel,3,TV host
@iskenderpaydas,iskender paydas,23,Artist
@ismailer_,İsmail Er,2,Journalist
@ismailhpolat,İsmail H. Polat,2,Academician
@ismailsaymaz,İsmail Saymaz,0,Journalist
@ismail_safi,İsmail Safi,2,"MP, AKP"
@ismail_yasa,İsmail Yaşa,5,Author
@ismet_berkan,İsmet Berkan,4,"Journalist, Columnist"
@istiklalAkarsu,İstiklal Akarsu,21,"Author, Twitter Phenomenon"
@itiresen,Itır Esen,7,Movie Actor
@ivanasertivana,Ivana Sert,52,Stylist
@Izelcelikozz,Izelcelikoz,13,Musician
@izzetcapa,Izzet Capa,11,"Businessman, Celebrity"
@Jaharrad,Bülent Somay,0,"Academician, Author"
@JulideAtes,Jülide Ateş,25,TV host
@kaankural,Kaan Kural,19,"Columnist, Commentator"
@kaansezyum,Kaan Sezyum,19,Twitter Phenomenon
@kaanyakuphan,Kaan Yakuphan,13,TV host
@kadirdogulu,Kadir Doğulu,70,TV Series actor
@KadirGokmenOgut,Kadir Gökmen Öğüt,7,"MP, CHP"
@KadirMisiroglu,Kadir Mısıroglu,0,Author
@Kadir__Topbas,Kadir Topbaş,27,Politician
@KadriGursel,Kadri Gürsel,10,"Journalist, Columnist"
@Kaleagasi,Bahadir Kaleagasi,9,Executive
@kamalakmustafa,Mustafa Kamalak,4,Politician
@KamerGen1,Kamer Genç,32,"MP, CHP"
@kaplanseren,Erdal Kaplanseren,2,"Journalist, Author"
@KaracanOkan,Okan Karacan,11,TV host
@karadagerhan,Erhan Karadağ,4,Journalist
@KarakasEser,Eser Karakaş,3,"Academician, Columnist"
@karamanhikmet,Hikmet Karaman,3,Coach
@katkaya,Kanat Atkaya,8,Columnist
@KavlakPevrul,Pevrul KAVLAK,1,Executive
@KAYABJK,Kaya Çilingiroğlu,31,"Commentator, Celebrity"
@KaygusuzSema,Sema Kaygusuz,6,Author
@Kaynarca_Oktay,Oktay Kaynarca,71,Artist
@kazimmolla,Kazım Mehmet,0,Academician
@kekec_ahmet,Ahmet Kekeç,26,Columnist
@KemalBurkay1,Kemal Burkay,7,Politician
@KemalDogulu,Kemal Dogulu,14,Musician
@kemalgoktas,Kemal Göktaş,5,Journalist
@kemalgulen,Kemal Gülen,0,TV host
@kemallaktas,Kemal Aktaş,0,"MP, Independent"
@kemalozturk2020,Kemal Öztürk,2,Bureaucrat
@kenandogulu,Kenan Doğulu,22,Musician
@keremalkin,Kerem Alkin,2,Academician
@keremgorsev,Kerem Gorsev,3,Artist
@keremtibuk,Kerem Tibuk,5,Businessman
@KerimcanG,Kerimcan Guleryuz,2,"Artist, Businessman"
@kilicdarogluk,Kemal Kılıçdaroğlu,30,"MP, CHP"
@kinikli88,Suat Kınıklıoğlu,1,Politician
@kisanakgultan,Gültan Kışanak,8,"MP, HDP"
@kitapdunyasi,Sayım Çınar,0,Author
@kivanctatlitug,Kıvanç Tatlıtuğ,50,TV Series actor
@kizilirmakilkay,ilkay Akkaya,29,Artist
@kizilkaya66,Muhsin Kızılkaya,0,Author
@KorayaydinMHP,Koray Aydın,15,"MP, MHP"
@koraybirand,Koray Birand,0,Artist
@koraycaliskan,Koray Çalışkan,26,"Academician, Columnist"
@KorgEnginAlan,Engin Alan,0,"MP, MHP"
@KorogluDerya,Derya Köroğlu,15,Musician
@kucukiskender,Küçük İskender,22,"Poet, Author"
@KucukkayaIsmail,İsmail Küçükkaya,14,Journalist
@kursatbasar,Kürşat Başar,6,Journalist
@kutlugataman,Kutluğ Ataman,2,"Artist, Director"
@kutup_zencisi,Kutup Zencisi,1,Twitter Phenomenon
@Ladyimam,İmamınGülü✌,132,Twitter Phenomenon
@lalesivgin,Lale Şıvgın Dundar,20,"Journalist, TV host"
@LaraSayilgan,Lara Sayılgan,3,Artist
@latiferdogan56,Latif Erdoğan,0,Author
@Lerzan_Mutlu,Lerzan Mutlu,3,Artist
@leventerden,Levent Erden,11,Adman
@leventerim,leventerim,15,Radio DJ
@leventtulek,levent tülek,5,Theater Actor
@LeventTuzel,A. Levent Tüzel,65,"MP, HDP"
@LeventTuzemen,Levent Tüzemen,8,Columnist
@LeventUzumcu,Levent Üzümcü,103,Artist
@levent_kazak,Levent Kazak,13,Artist
@leylazanainfo,Leyla Zana,0,"MP, Independent"
@Leyla_Ipekci,Leyla İpekci,2,Author
@lezzetlipiyasa,Abdurrahman Yıldırım,20,Columnist
@lifeisaturkubar,vasif kortun,5,Artist
@linetmenasi,Linet Menaşi,0,Musician
@lokmanayva,Lokman Ayva,5,Politician
@LokmanCagirici,Lokman ÇAĞIRICI,7,Politician
@lsdomicim,Leman Sam,10,Artist
@lubeayar,Lube Ayar,63,Journalist
@LutfuTurkkan,Lütfü Türkkan,32,"MP, MHP"
@mahfiegilmez,Mahfi Eğilmez,8,Academician
@mahirunal,Mahir Ünal,10,"MP, AKP"
@MahirZeynalov_,Mahir Zeynalov,0,Journalist
@mahmutovur,mahmut övür,6,"Journalist, Columnist"
@maliilicak,mehmet ali ilicak,3,Businessman
@MalikEcderOzdmr,Malik Ecder Özdemir,4,"MP, CHP"
@mancolog,Doğukan Manço,21,Artist
@mansiz26,İlhan Mansız,14,Athlete
@mansuryavas06,Mansur Yavaş,4,Politician
@markaresayan,Markar Esayan,0,Author
@mazharbagli,Mazhar Bağlı,11,"Academician, Politician"
@MBekaroglu,Mehmet Bekaroğlu,11,"Politician, Academician"
@MCumbulOfficial,Meltem Cumbul,18,Movie Actor
@MeetinOzulku,Metin Özülkü,1,Commentator
@MehmetAltanFan,Mehmet Altan,26,Academician
@mehmetbaransu,Mehmet Baransu,36,Journalist
@mehmetdemirkolb,mehmet demirkol,4,"Journalist, Commentator"
@MehmetEroglu_,Mehmet Eroğlu,7,Author
@mehmetgundem,Mehmet Gündem,2,"Journalist, Author"
@MehmetOkur13,Mehmet Okur,6,Athlete
@MehmetPerincek,Mehmet Perinçek,2,"Journalist, Politician"
@mehmettez,Mehmet Tez,4,"Author, Commentator"
@mehvesevin,mehves evin,7,Journalist
@meldaonur,Melda Onur,6,"MP, CHP"
@melek_baykal,Melek Baykal,2,"TV Series actor, Theater Actor"
@melihaltinok,Melih Altınok,13,Columnist
@melihasik,Melih Aşık,9,Columnist
@melihbayramdede,Melih Bayram Dede,2,"Journalist, Commentator"
@melikedemirag,Melike Demirağ,10,Artist
@melikekarakarta,Melike Karakartal,7,Columnist
@melisalphan,Melis Alphan,40,Journalist
@melisdanismend,Melis Danişmend,10,"Musician, Journalist"
@memboydak,Memduh Boydak,2,Businessman
@memetalialabora,Memet Ali Alabora,25,"Social entrepreneur, Theater Actor"
@memetsimsek,Mehmet Simsek,20,"MP, AKP"
@mensurakgun,Mensur Akgün,0,"Academician, Columnist"
@mentesmurat,Murat Menteş,3,Columnist
@meral_aksener,Meral Akşener,14,"MP, MHP"
@MercanDede,Mercan Dede Arkın,4,Musician
@merdanyanardag,Merdan Yanardağ,5,"Journalist, Columnist"
@MertGunok,Mert Günok,2,Athlete
@meryemuzerli,Meryem Uzerli,12,TV Series actor
@MesutOzil1088,Mesut Özil,6,Athlete
@mesutyar,Mesut Yar,42,"Columnist, TV host"
@metecubukcu,Mete Çubukçu,8,Journalist
@metehan_demir,Metehan Demir,4,Journalist
@MetinAROLAT,Metin Arolat,49,"Musician, Director"
@metinfeyzioglu,Metin Feyzioğlu,8,"Academician, Lawyer, Politician"
@metinkeceli,Metin Keçeli,1,Businessman
@MetinUca,Metin Uca,108,"Author, TV host"
@metinustundag,metin üstündağ,11,"Artist, Author"
@MevlutAslanoglu,Ferit Mevlüt Aslanoğlu,2,"CHP, MP"
@MevlutCavusoglu,Mevlüt Çavuşoğlu,4,"MP, AKP"
@mevluttezel,Mevlut Tezel,4,"Columnist, Commentator"
@MHilalKaplan,Mehmet Hilal Kaplan,2,"CHP, MP"
@Mhsnkrmzgl,Mahsun Kirmizigül,38,"Musician, Director"
@mhulkicevizoglu,Hulki Cevizoğlu,18,"Journalist, Producer"
@mimarserdarinan,Serdar İnan,5,Businessman
@Minetugay,Mine Tugay,0,TV Series actor
@MirgunCabas,Mirgun Cabas,17,"Journalist, TV host"
@mkartoglu,Mustafa Kartoğlu,0,Journalist
@mkdoksat,Mehmet Kerem Doksat,0,Scientist
@MKilic52,Mustafa Kılıç,3,Journalist
@mkirikkanat,Mine G. Kırıkkanat,25,"Journalist, Author, Columnist"
@mkulunk,Metin Külünk,0,"MP, AKP"
@mnailkecili,Nail Kecili,8,Businessman
@MORGULYILMAZ,Yılmaz Morgül,10,Musician
@mozaydinli,Murat Özaydınlı,3,Businessman
@mrtclkr,Murat Çeliker,4,Politician
@mrvsevi,Merve Sevi,11,TV Series actor
@msarikaya6,Muharrem Sarıkaya,2,Journalist
@mserdark,M. Serdar Kuzuloğlu,9,"Columnist, TV host"
@MSTanrikulu,Sezgin Tanrıkulu,11,"MP, CHP"
@MTanal,Mahmut Tanal,0,"MP, CHP"
@mtekeli35,Mehmet Tekelioglu,2,"MP, AKP"
@mt_goksu,Mehmet Tevfik Göksu,4,Politician
@MuammerELVEREN,Muammer ELVEREN,1,Journalist
@MuammerGulerr,Muammer Güler,6,"MP, AKP"
@mucahitbilici,Mucahit Bilici,2,Academician
@MucellaYapici,MucellaYapici,0,Social entrepreneur
@MuezzinogluDR,Mehmet Müezzinoğlu,4,"MP, AKP"
@MuhittinBosat,Muhittin Boşat,4,Commentator
@muhsinakgun,Muhsin Akgün,3,Artist
@Mumtazer,Mümtaz'er Türköne,6,"Academician, Columnist"
@Muneccimbasi,R. Hakan Kırkoğlu,6,Commentator
@mungan_murathan,Murathan Mungan,11,Author
@munibenno,Münib Engin Noyan,6,Artist
@murataksoy,Murat Aksoy,1,Columnist
@MuratBoz,Murat Boz,136,Musician
@MuratCelik_1,Murat Çelik,5,Journalist
@MuratDalkilic,Murat Dalkılıç,34,Musician
@muratdidin,Murat Didin,1,"Athlete, Columnist"
@muratevgin,Murat Evgin,0,Musician
@MuratKazanasmaz,Murat Kazanasmaz,3,Commentator
@muratsabuncum,Murat Sabuncu,5,Entrepreneur
@murattolga,Murat Tolga Şen,1,"Author, Commentator"
@MuratYetkin2,Murat Yetkin,3,Journalist
@Murat_Alparslan,Murat Alparslan,2,Politician
@Murat_ide,Murat İde,22,"Journalist, Commentator"
@muslimsarichp,Müslim Sarı,10,"MP, CHP"
@mustafabalbay,Mustafa Balbay,6,"Journalist, CHP, MP"
@mustafaceceli,Mustafa Ceceli,37,Musician
@MustafaKurdas,Mustafa Kurdaş,1,Journalist
@mustafaltioklar,Mustafa Altioklar,22,"Producer, Director"
@MustafaSentop,Mustafa Şentop,3,"Academician, AKP, MP"
@Mustafa_Destici,Mustafa Destici,7,Politician
@Mustafa___Demir,Mustafa Demir,3,Politician
@mustaf_unal,Mustafa Ünal,2,Journalist
@mustfsnmz,Mustafa Sönmez,5,Columnist
@mustinetnet,Mustafa Sandal,46,Musician
@MU_ULKER,Murat Ülker,2,Businessman
@Mv_MCetin,Muhammed Çetin,1,"MP, Independent"
@myalcintas,Murat Yalcintas,3,Businessman
@myikar,Metin Yıkar,8,Journalist
@M_Sarigul,Mustafa Sarıgül,15,Politician
@nacibostanci,Naci Bostancı,8,"MP, AKP"
@NadideS,Nadide Sultan,13,Musician
@NaferErmis,Nafer Ermiş,1,Author
@nafigural,Nafi GÜRAL,6,Businessman
@Nagehanalci,Nagehan Alci,23,Columnist
@NahitKiler,Nahit Kiler,5,Businessman
@NamiCAGAN,Nami Çağan,7,"Academician, Politician"
@NamikTan,Namik Tan,7,Bureaucrat
@nasrullahayan,Nasrullah Ayan,9,Businessman
@nasuhigungor,Nasuhi Güngör,7,Bureaucrat
@nasuhmahruki,Nasuh Mahruki,14,Athlete
@nazan_oncel,Nazan Öncel,9,"Musician, Musician"
@Nazenint,Nazenin Tokuşoğlu,3,Journalist
@nazlicanozkan,Nazlıcan Özkan,17,Author
@Nazmigur,Nazmi Gür,1,"MP, HDP"
@nebilozgenturk,Nebil Özgenturk,4,Author
@nebilragip,Nebil İlseven,5,"Businessman, Politician"
@necatisler,necat isler,31,Artist
@NecdetPamir,Necdet Pamir,2,"Politician, Consultant"
@necdetunuvar,Necdet Ünüvar,4,"MP, AKP"
@neco_ates,Necati Ateş,0,Athlete
@nedimsaban,nedim saban,10,"Theater Actor, Director"
@nedimsener2010,Nedim Şener,13,"Journalist, Author"
@nejatkocer,Nejat Koçer,8,"MP, AKP"
@nesli17,neslihan demir,11,Athlete
@neslihanacu,Neslihan Acu,9,"Journalist, Author"
@NeslihanYargici,Neslihan Yargıcı,27,"Businesswoman, Stylist"
@Nesrinnas,Nesrin Nas,2,Politician
@nevsinmengu,Nevşin Mengü,17,TV host
@NevvalS,Nevval Sevindi,4,Journalist
@NEWSSEEKERNO1,Can Paker,5,"Businessman, Social entrepreneur"
@NhrErd,Nehir Erdoğan,19,TV Series actor
@nibenka,Nihal Bengisu Karaca,19,Journalist
@nihadagenc,Nihat Genç,23,"Journalist, Author"
@NihatDogan_ND,Nihat Doğan,95,"Musician, Celebrity"
@nihatipoglu,Nihat Hatipoğlu,2,Religious Scholar
@NihatKahveci8,Nihat Kahveci,17,Athlete
@nihatsirdar,Nihat Sırdar,21,TV host
@nihattosun61,Nihat Tosun,0,Bureaucrat
@NilBurakk,Nil Burak,10,Musician
@nildaybelday,Nilgün Belgün,120,Artist
@Niltakipte,Nil Karaibrahimgil,23,Musician
@niluferacikalin,Nilüfer Açıkalın,14,"Theater Actor, Author"
@NiluferBulutt,Nilüfer Bulut,3,Businesswoman
@Nilufergole,Nilüfer Göle,0,Academician
@Nimet_Bas,Nimet Baş,9,"AKP, MP"
@niranunsal,Niran Ünsal,0,Musician
@NOdabasi,Nihat Odabaşı,16,Artist
@Notredamedesion,Nazlı Ilıcak,39,"Journalist, Columnist"
@nrglyslcy,Nurgül Yeşilçay,90,Movie Actor
@NuhAlbayrak,NUH ALBAYRAK,4,Journalist
@nuhyilmaz,NUH YILMAZ,2,Columnist
@NukhetDuru,Nükhet Duru,9,Musician
@NumanKurtulmus,Numan Kurtulmuş,14,"Academician, Politician"
@nurancakmakci,Nuran Çakmakçı,4,"Journalist, Author"
@nuraysayari,Nuray Sayari,2,"Consultant, Commentator"
@nurcanakad,Nurcan Akad,3,Journalist
@nurettin_demir,Nurettin Demir,3,"MP, CHP"
@NurGer1,Nur Ger,3,"Social entrepreneur, Businesswoman"
@nurisahin05,Nuri Şahin,10,Athlete
@NurrYerlitas,Nur Yerlitaş,21,"Stylist, Celebrity"
@obasturk,Onur Baştürk,8,Columnist
@obenBudak,Oben Budak,12,Columnist
@odalga,Özlem Dalga,6,TV host
@OdunHerif,Odun Herif,7,Twitter Phenomenon
@OFarukLogoglu,O. Faruk Loğoğlu,13,"MP, CHP"
@ofunal,Ömer Faruk Ünal,5,"Columnist, Commentator"
@OF_Eminagaoglu,Ömer F. Eminağaoğlu,0,Legist
@oguzksalici,Oğuz Kaan Salıcı,5,Politician
@okanbayulgen,okan bayulgen,68,"Artist, Author, Producer"
@okaygonensin,okay gönensin,3,Columnist
@okay_karacan,Okay Karacan,8,"Journalist, Columnist"
@oktayvural,Oktay Vural,36,"MHP, MP"
@olcay_sahan10,Olcay Sahan,5,Athlete
@Olgunsimsek_,Olgun Şimşek,36,Artist
@omerdongeloglu,Ömer Döngeloğlu,5,Author
@omermadra,Ömer Madra,2,"Academician, TV host"
@omerrcelik,Ömer Çelik,9,"MP, AKP"
@OmerTemelli,Omer Temelli,2,Businessman
@omer_sahinn,Ömer Şahin,4,Journalist
@omer_topbas,Mustafa Topbaş,7,Businessman
@omradymn,Ömer Adıyaman,9,Journalist
@omurgedik,Ömür Gedik,79,Columnist
@onalfusun,Füsun Önal,3,Artist
@onanarzum,Arzum Onan,0,"Celebrity, Model"
@onderozturk2023,Önder Öztürk,6,Journalist
@oneyferyal,Feryal Öney,18,Musician
@OnurOymen,Onur Oymen,3,"Politician, Bureaucrat"
@ooktayeksi,Oktay Ekşi,21,"MP, CHP"
@OPAMUKOGLU,Osman PAMUKOĞLU,16,"Politician, Emeritus Officers"
@orayegin,Oray Eğin,7,Journalist
@orhanaydin6,Orhan Aydın,11,Artist
@ORHANBURSALI,Orhan Bursalı,7,Columnist
@orhanduzgun60,Orhan Düzgün,6,"MP, CHP"
@orkece,Orhan Kemal Cengiz,7,"Legist, Columnist"
@osmandevelioglu,Osman Develioğlu,2,Politician
@OsmanGokcek_,Osman Gökçek,9,"Politician, Businessman"
@OsmanKoruturk,Osman Korutürk,3,"MP, CHP"
@osmansrt,Osman Sert,2,Bureaucrat
@otaspinar,Ömer Taşpınar,1,"Academician, Author"
@oulagay,Osman Ulagay,1,Columnist
@ousankoc,Oğuzhan Koç,4,Artist
@oykucelikkk,Öykü Çelik,3,Twitter Phenomenon
@OYUNADAMI,Hakan Yılmaz,15,Artist
@OzanDogulu,Ozan Doğulu,17,"Artist, Producer"
@OzanKibritci,Ozan Kibritçi,4,TV host
@OzanOnen,Ozan Önen,1,Author
@ozaysendir,Özay Şendir,0,Journalist
@ozbekbahadir,Bahadır Özbek,9,Businessman
@OzcanDeniz,Özcan Deniz,38,"Musician, Producer, Director"
@ozdemsanberk,Özdem Sanberk,1,Emeritus bureaucrat
@ozgeulusoyresmi,Özge Ulusoy,74,"TV Series actor, Model"
@ozge_mumcu,Özge Mumcu,19,"Academician, Columnist"
@ozguralaz,Özgür Alaz,3,Businessman
@ozguraras,Özgür Aras,1,"PR specialist, Producer"
@ozgurcek60,Özgür Çek,2,Athlete
@ozgurmasur,Özgür Masur,0,Stylist
@ozgurmumcu,Özgür Mumcu,15,"Academician, Columnist"
@OzlemGurses,Özlem Gürses,21,"TV host, PR specialist"
@ozlemsavas,Özlem Savaş,2,Celebrity
@OzlemTekin,ÖZLEMTEKİN,15,"Musician, TV Series actor"
@ozlemyldz_,Özlem Yıldız,19,TV host
@ozlem_albayrak,Özlem Albayrak,14,Journalist
@ozlem_denizmen,Ozlem Denizmen,6,"Consultant, Executive"
@oztekinrasim,Rasim Öztekin,25,Artist
@oz_zekeriya,Zekeriya Öz,2,Legist
@Patavatsiz,Harun Kolçak,0,Musician
@pekkan1,Pekkan,100,Artist
@PelinBatuRevnak,Pelin Batu,0,Columnist
@peliniioztekin,Pelin Öztekin,12,TV Series actor
@pelinozkan,Pelin Özkan,12,Journalist
@PervinBuldan,Pervin Buldan,22,"MP, HDP"
@Petekdncz,Petek Dinçöz,53,"Musician, TV host"
@pinaratacan,Pınar Altuğ Atacan,61,Artist
@PinarAylin,Pınar Aylin,0,Musician
@pinarbihter,Pınar Öğünç,3,"Author, Columnist"
@pinarersoy,Pınar Ersoy,7,Journalist
@Pinar_Selek,Pınar Selek,16,Academician
@pinkfreud,Pink Freud,15,"Author, Twitter Phenomenon"
@pnouma21,Pascal Nouma,60,Athlete
@poyrazalti,Haluk Şahin,3,"Academician, Journalist"
@ProfDrFarukSen,Faruk Şen,5,"Academician, Politician"
@profdrihsanoglu,Ekmeleddin İhsanoğlu,1,Politician
@ProfDrMaydin,Mustafa Aydın,1,Academician
@profozcan,Prof. Dr. Mehmet Özcan,9,"Academician, Author"
@PuCCaa,PuCCa,100,"Author, Twitter Phenomenon"
@PYAntika,Piraye Antika,8,Executive
@rahsangulsan,Rahşan Gülşan,30,Columnist
@RamisTopal,Ramis Topal,6,"MP, CHP"
@RasimOzan_K,Rasim Ozan Kütahyalı,10,"Columnist, Commentator"
@renemliD,Naim Dilmener,5,"Artist, Author"
@ResatPetek,Reşat Petek,0,Legist
@Reyhan_Karaca,Reyhan Karaca,37,Artist
@RHisarciklioglu,Rifat Hisarcıklıoğlu,4,Businessman
@RizaKocaoglu,Rıza Kocaoğlu,14,TV Series actor
@roberhatemo75,Rober Hatemo,1,Artist
@rober_koptas,rober_koptas,3,Author
@rodrikdani,Dani Rodrik,10,Academician
@RoniMargulies,Roni Margulies,0,"Author, Columnist"
@RT_Erdogan,Recep Tayyip Erdoğan,137,"MP, AKP"
@ruhsardemirel,Ruhsar Demirel,9,"MP, MHP"
@RustemBatum,Rüstem Batum,4,Artist
@saadetisilaksoy,Saadet Aksoy,3,TV Series actor
@sabahatakkiraz,Sabahat Akkiraz,38,"CHP, MP"
@saba_t,saba tumer,139,TV host
@sabriugan,Sabri Ugan,6,TV host
@SADIOZDEMIR,Sadi Özdemir,5,"Author, Columnist"
@safakongan,Şafak Ongan,2,TV host
@safakpavey,Şafak Pavey,32,"MP, CHP"
@SafakSezer,Şafak Sezer,15,"Movie Actor, Theater Actor"
@saffetsancakli,Saffet Sancaklı,6,Athlete
@saglam_erdal,Erdal Sağlam,1,Journalist
@Sagopakajmerrap,sagopa kajmer,21,Musician
@sahinirmak,Şahin Irmak,33,Artist
@sahinmengu,Şahin Mengü,12,Politician
@sahmetsahmet,Ahmet Şık,8,Journalist
@SahnazCakiralp,Şahnaz Çakıralp,16,TV Series actor
@sakiksirri,Sırrı Sakık,11,"MP, HDP"
@SalarMurat,Murat Salar,0,"Economist, Executive"
@Salih_Kapusuz,Salih Kapusuz,10,"MP, AKP"
@salimuslu_,Salim Uslu,0,"MP, AKP"
@samiltayyar27,Şamil Tayyar,40,"MP, AKP"
@sanatatak,Aysegul Sönmez,9,Journalist
@sarpapak81,Sarp Apak,26,TV Series actor
@saygi_ozturk,Saygı Öztürk,3,"Journalist, Columnist"
@sayinemell,Emel Sayın,15,Artist
@sbrymr,Sabri Sarioglu,12,Athlete
@sebnembozoklu,Şebnem Bozoklu,31,Artist
@sebnembursali,Şebnem Bursalı,4,Journalist
@Sebnemisiguzel,Şebnem İşigüzel,10,Author
@secondvirus,Cemil Barlas,7,Businessman
