twhandle,name,fcnt,profs
@avomerturanli,Ömer Turanlı,0,Lawyer
@avsarhellin,Helin Avşar,104,Celebrity
@av_idrissahin,İdris Şahin,4,"MP, AKP"
@Av_SelamiOzturk,Selami Öztürk,10,"Legist, Politician"
@aycasenbaskan,Ayça Şen,35,"Columnist, Radio DJ, Author"
@aydincingi,Aydın Cıngı,22,"Politician, Social entrepreneur"
@aydinsengul35,Aydın Şengul,1,"MP, AKP"
@AYDIN_KUSUM,Aydın Uğurlular,0,Musician
@ayhansicimoglu,Ayhan Sicimoglu,11,"TV host, Producer"
@aykanerdemir,Aykan Erdemir,8,"MP, CHP"
@aykurtnuh,Aykurt Nuhoğlu,0,Politician
@aykuterdogdu,Aykut Erdoğdu,23,"MP, CHP"
@aykut_isiklar,Aykut Işıklar,24,Columnist
@Ayla_Akat,Ayla Akat,18,"MP, HDP"
@AylinAsLIM,Aylin Aslım,65,Musician
@AylinNazliaka,Aylin Nazlıaka,33,"MP, CHP"
@aylin_kotil,Aylin Kotil,18,Politician
@AYMBASKANLIGI,Anayasa Mahkemesi Başkanlığı (AYM),3,Others
@aysebohurler,Ayşe Böhürler,16,Politician
@AysegulAldinc,Ayşegül Aldinç,76,"Artist, TV Series actor"
@AysegulDinckok,Ayşegül Dinçkök,0,Businesswoman
@aysekarabat,Ayşe Karabat,5,"Journalist, Author"
@aysekesir,Ayşe Keşir,11,Politician
@AysenurArslan50,Ayşenur Arslan,5,Journalist
@aysenuryazici,Ayşenur Yazıcı,30,TV host
@ayseozyilmazel,Ayse Özyılmazel,108,"Musician, Columnist, TV host"
@AyseTolga,Ayşe Tolga,13,"TV Series actor, Businesswoman"
@aziz_ustell,Aziz Üstel,16,"Columnist, Commentator"
@A_Behramoglu,Ataol Behramoğlu,0,Author
@badenzi,Bade Süalp,99,TV Series actor
@baharkorcan,Bahar Korcan,5,Stylist
@bahattinyucel,Bahattin Yücel,22,Politician
@Balciceki,Balçiçek İlter,46,"Journalist, TV host"
@banuguven,Banu Güven,60,Journalist
@banuka,Banu Yelkovan,28,Journalist
@banuzeytinoglu,Banu K. Zeytinoglu,2,Businesswoman
@BarbarosSansal,Barbaros Şansal,70,Stylist
@barisatay,Barış Atay,8,Artist
@BarisOrnarli,Baris Ornarli,4,Social entrepreneur
@barispehlivan,Barış Pehlivan,10,Journalist
@baristerkoglu,Barış Terkoğlu,19,Journalist
@baristunay,Baris Tunay,5,Executive
@barisyarkadas,Barış Yarkadaş,23,Journalist
@basaktemel,Başak Temel,14,Businesswoman
@baskomsernevzat,Ahmet Ümit,65,Author
@baydemirosman,Osman Baydemir,10,Politician
@bayjshow,Bay J,49,TV host
@BayramogluDeniz,Deniz Bayramoğlu,2,"Journalist, TV host"
@bedribaykam,Bedri Baykam,18,Artist
@beduk,Bedük,19,Musician
@behzatu,Behzat Uygur,48,Artist
@bejanmatur,Bejan Matur,18,"Author, Columnist"
@BekirDeveli,BekirDeveli,0,"TV host, Producer"
